Q1,Q2,Q3,Q3_5_TEXT,Q4,Q5,Q6,Q6_10_TEXT,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q17
I consent,5 years or more but less than 10 years,"Python
,Java,C/C++,Other",Javascript,4,2 years or more but less than 5 years,"Cirq,OpenQASM,Q#,Strawberry Fields,Qiskit",,No,Yes,Yes,Yes,No,Yes,,Yes,,8,4,7,1,6,3,5,2,
I consent,5 years or more but less than 10 years,"Python
,C/C++,C#,Other",,2,2 years or more but less than 5 years,"OpenQASM,Qiskit",,No,,No,Yes,No,Yes,,Yes,,8,5,7,1,4,3,6,2,
I consent,5 years or more but less than 10 years,"Python
,Other",,5 (expert),2 years or more but less than 5 years,"Cirq,Strawberry Fields,Qiskit",,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"This all really depends on the research goal - using customized gates may be the only possible route for some applications, but if you have a better construction, that should be used, of course. If you plan on only using simulators, then many of the LPQ issues are irrelevant. Simple things like ROC are the most 'serious' just because they are potentially the easiest to resolve (i.e. multiple one qubit rotations in a row), alongside NC.",6,2,1,4,4,5,1,4,
I consent,5 years or more but less than 10 years,"Python
,C/C++",,4,2 years or more but less than 5 years,"OpenQASM,Qiskit",,No,No,No,No,No,Yes,No,Yes,,2,3,2,1,2,3,4,5,
I consent,2 years or more but less than 5 years,"Python
",,4,Less than 1 year,"Qiskit,Other",PennyLane,Yes,Yes,No,Yes,,Yes,No,No,,5,1,2,3,7,2,8,6,
I consent,1 year or more but less than 2 years,"Python
",,2,1 year or more but less than 2 years,"OpenQASM,Qiskit,Other",pennylane,No,Yes,Yes,Yes,No,Yes,,Yes,,8,4,7,1,6,3,5,2,
I consent,15 years or more but less than 20 years,"Python
,Other",FORTRAN,4,1 year or more but less than 2 years,"OpenQASM,Qiskit",,Yes,No,Yes,Yes,No,Yes,Yes,Yes,,8,1,7,2,6,4,5,3,
I consent,,,,,,,,,,Yes,Yes,Yes,Yes,,Yes,,8,4,7,1,6,3,5,2,
I consent,10 years or more but less than 15 years,Java,,3,1 year or more but less than 2 years,Cirq,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,2,5,2,3,2,5,5,4,
I consent,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,,8,5,6,3,8,3,3,4,
I consent,5 years or more but less than 10 years,"Python
,Java,C#,Other",MATLAB,3,Never,Other,None of the above,No,,Yes,Yes,Yes,Yes,Yes,Yes,,2,1,3,2,2,2,2,1,
I consent,5 years or more but less than 10 years,"Python
,Other",Mathematica,4,Less than 1 year,Qiskit,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,5,3,2,8,4,6,1,7,
I consent,5 years or more but less than 10 years,"Python
,C/C++",,3,Less than 1 year,Qiskit,,,,No,No,No,Yes,Yes,No,,2,5,2,3,2,5,5,4,
I consent,Over 20 years,"Python
,C/C++,C#",,5 (expert),5 years or more,Q#,,Yes,Yes,Yes,Yes,No,No,No,No,,8,8,2,3,8,8,8,1,
I consent,2 years or more but less than 5 years,"Python
",,2,Less than 1 year,Qiskit,,,,Yes,Yes,Yes,Yes,,Yes,,6,4,5,4,3,3,4,3,
I consent,15 years or more but less than 20 years,"Python
,C/C++,C#",,5 (expert),5 years or more,Q#,,No,No,No,Yes,No,Yes,,Yes,,8,5,7,1,4,3,6,2,
I consent,10 years or more but less than 15 years,"Python
,C/C++",,5 (expert),Less than 1 year,"OpenQASM,Qiskit",,,,Yes,Yes,No,Yes,,Yes,,8,4,7,1,6,3,5,2,
I consent,Over 20 years,"Java,C#",,5 (expert),Never,Cirq,,,,,,,,,,,2,5,2,3,2,5,5,4,
I consent,2 years or more but less than 5 years,"Python
",,2,Less than 1 year,Qiskit,,Yes,,Yes,Yes,No,Yes,Yes,Yes,,8,1,7,2,6,4,5,3,
I consent,2 years or more but less than 5 years,"Python
,Other",R,3,Never,Other,None,,,Yes,Yes,No,Yes,Yes,Yes,,8,1,7,2,6,4,5,3,
I consent,15 years or more but less than 20 years,C#,,5 (expert),5 years or more,qGCL,,No,Yes,Yes,Yes,No,Yes,,Yes,,8,5,6,3,8,3,3,4,
I consent,2 years or more but less than 5 years,Other,,3,Less than 1 year,Qiskit,,Yes,,No,Yes,No,Yes,,Yes,,8,5,7,1,4,3,6,2,
I consent,2 years or more but less than 5 years,"Python
,C/C++",,4,Never,Other,,,,Yes,Yes,Yes,Yes,Yes,Yes,,6,2,1,4,4,5,1,4,
I consent,5 years or more but less than 10 years,Java,,1 (novice),Never,Other,,,,Yes,Yes,No,No,No,No,,2,1,3,2,2,2,2,1,
I consent,2 years or more but less than 5 years,"Python
,Java,C/C++",,2,Less than 1 year,"Strawberry Fields,Qiskit",,,,No,No,No,Yes,No,Yes,,2,3,2,1,2,3,4,5,
I consent,5 years or more but less than 10 years,"Python
,Java,C/C++",,1 (novice),2 years or more but less than 5 years,"OpenQASM,Qiskit,Other",Pennylane,Yes,No,No,No,No,Yes,No,Yes,,2,3,2,1,2,3,4,5,
